@RELATION subject1act 

@ATTRIBUTE hipAccelSensor1	REAL 
@ATTRIBUTE hipAccelSensor2 	REAL 
@ATTRIBUTE class 	{walking,standing,running} 

@DATA 
573.422135,499.204948, 'standing'
585.483250,498.964198, 'standing'
583.382971,493.594437, 'standing'
585.621795,498.222157, 'standing'
586.942456,502.147615, 'standing'
589.560475,508.036469, 'standing'
592.262642,506.347381, 'standing'
604.162558,502.594133, 'standing'
606.545104,497.256143, 'standing'
607.798736,491.160376, 'standing'
612.598694,493.636232, 'standing'
627.719322,504.624523, 'standing'
628.869933,511.841727, 'standing'
625.502872,513.949619, 'standing'
606.299447,507.597677, 'standing'
604.225630,500.797786, 'standing'
597.678784,490.051677, 'standing'
592.730819,479.563284, 'standing'
583.987265,483.166580, 'standing'
583.556857,491.896145, 'standing'
580.129938,498.951561, 'standing'
588.772238,498.081083, 'standing'
595.895509,505.538884, 'standing'
600.677115,507.671416, 'standing'
592.649252,511.762921, 'standing'
595.424617,512.424712, 'standing'
603.306853,509.603271, 'standing'
598.670036,495.882221, 'standing'
604.894008,496.100108, 'standing'
600.211390,494.585227, 'standing'
598.990836,495.331730, 'standing'
598.057940,493.260274, 'standing'
596.050005,495.301560, 'standing'
604.397178,504.303126, 'standing'
595.420982,502.370334, 'standing'
605.194170,501.776022, 'standing'
603.232061,495.649763, 'standing'
608.639182,496.038327, 'standing'
605.993961,499.285921, 'standing'
603.350469,493.430749, 'standing'
617.517549,492.642977, 'standing'
607.300454,497.876108, 'standing'
542.846498,485.112641, 'standing'
532.471966,488.152860, 'standing'
578.713850,487.693836, 'standing'
587.451279,489.179325, 'standing'
572.186991,485.869182, 'standing'
537.169802,485.459213, 'standing'
533.083839,491.228495, 'standing'
547.274658,486.302876, 'standing'
547.368882,495.317920, 'standing'
538.332799,505.756472, 'standing'
562.047633,513.128146, 'standing'
566.921702,510.235417, 'standing'
558.693761,504.897406, 'standing'
563.190315,502.602868, 'standing'
574.182163,491.845619, 'standing'
576.614193,490.590640, 'standing'
568.592551,488.996155, 'standing'
583.999441,495.892212, 'standing'
578.156451,496.245799, 'standing'
572.345112,505.709941, 'standing'
562.932561,504.573081, 'standing'
569.963317,506.955496, 'standing'
564.649293,506.940744, 'standing'
575.232915,508.516175, 'standing'
577.134403,503.257198, 'standing'
584.619908,495.794847, 'standing'
598.036201,495.214022, 'standing'
599.118891,492.220999, 'standing'
614.653859,494.145166, 'standing'
618.801846,497.239108, 'standing'
629.836289,501.418047, 'standing'
633.211495,504.168476, 'standing'
633.252070,510.064940, 'standing'
622.202062,506.172595, 'standing'
602.165012,495.679683, 'standing'
584.602018,490.629491, 'standing'
575.511100,488.517165, 'standing'
575.804003,487.741683, 'standing'
589.410967,494.155338, 'standing'
592.274242,504.220880, 'standing'
590.646268,507.267259, 'standing'
602.397358,507.860282, 'standing'
609.128857,502.212846, 'standing'
609.890554,508.400611, 'standing'
608.091325,514.321942, 'standing'
598.835591,512.452052, 'standing'
600.500862,510.549038, 'standing'
598.609504,503.699554, 'standing'
600.604907,504.785797, 'standing'
592.651232,493.058902, 'standing'
589.891570,495.339642, 'standing'
